order_date,order_month,order_year,release_date,brand,sneaker_name,shoe_size,sale_price,retail_price,profit,buyer_region
2018-12-23,December,2018,2017-02-25, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,12.5,375.0,220.0,155.0,New York
2018-12-23,December,2018,2018-11-23, Yeezy,Adidas Yeezy Boost 350 V2 Sesame,11.0,265.0,220.0,45.0,Oklahoma
2018-12-23,December,2018,2017-02-25, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,8.0,294.0,220.0,74.0,California
2018-12-23,December,2018,2017-11-18, Yeezy,Adidas Yeezy Boost 350 V2 Semi Frozen Yellow,9.0,244.0,220.0,24.0,California
2018-12-23,December,2018,2017-11-18, Yeezy,Adidas Yeezy Boost 350 V2 Semi Frozen Yellow,6.5,280.0,220.0,60.0,New York
2018-12-23,December,2018,2017-11-18, Yeezy,Adidas Yeezy Boost 350 V2 Semi Frozen Yellow,10.0,235.0,220.0,15.0,Connecticut
2018-12-23,December,2018,2017-11-18, Yeezy,Adidas Yeezy Boost 350 V2 Semi Frozen Yellow,11.5,252.0,220.0,32.0,Indiana
2018-12-23,December,2018,2017-11-18, Yeezy,Adidas Yeezy Boost 350 V2 Semi Frozen Yellow,5.0,272.0,220.0,52.0,New York
2018-12-23,December,2018,2017-11-18, Yeezy,Adidas Yeezy Boost 350 V2 Semi Frozen Yellow,9.0,240.0,220.0,20.0,New York
2018-12-23,December,2018,2017-11-18, Yeezy,Adidas Yeezy Boost 350 V2 Semi Frozen Yellow,9.5,248.0,220.0,28.0,Florida
2018-12-23,December,2018,2017-11-18, Yeezy,Adidas Yeezy Boost 350 V2 Semi Frozen Yellow,8.0,248.0,220.0,28.0,New Jersey
2018-12-23,December,2018,2017-11-18, Yeezy,Adidas Yeezy Boost 350 V2 Semi Frozen Yellow,12.5,310.0,220.0,90.0,Nevada
2018-12-23,December,2018,2017-11-18, Yeezy,Adidas Yeezy Boost 350 V2 Semi Frozen Yellow,11.5,269.0,220.0,49.0,Michigan
2018-12-23,December,2018,2017-11-18, Yeezy,Adidas Yeezy Boost 350 V2 Semi Frozen Yellow,10.5,232.0,220.0,12.0,New York
2018-12-23,December,2018,2017-11-18, Yeezy,Adidas Yeezy Boost 350 V2 Semi Frozen Yellow,10.5,241.0,220.0,21.0,Georgia
2018-12-23,December,2018,2017-11-18, Yeezy,Adidas Yeezy Boost 350 V2 Semi Frozen Yellow,12.0,264.0,220.0,44.0,Texas
2018-12-23,December,2018,2017-11-18, Yeezy,Adidas Yeezy Boost 350 V2 Semi Frozen Yellow,12.0,265.0,220.0,45.0,Pennsylvania
2018-12-23,December,2018,2017-11-18, Yeezy,Adidas Yeezy Boost 350 V2 Semi Frozen Yellow,9.5,235.0,220.0,15.0,Illinois
2018-12-23,December,2018,2017-11-18, Yeezy,Adidas Yeezy Boost 350 V2 Semi Frozen Yellow,8.5,247.0,220.0,27.0,Virginia
2018-12-23,December,2018,2017-11-18, Yeezy,Adidas Yeezy Boost 350 V2 Semi Frozen Yellow,9.0,245.0,220.0,25.0,Minnesota
2018-12-23,December,2018,2017-11-18, Yeezy,Adidas Yeezy Boost 350 V2 Semi Frozen Yellow,11.0,255.0,220.0,35.0,New York
2018-12-23,December,2018,2017-11-18, Yeezy,Adidas Yeezy Boost 350 V2 Semi Frozen Yellow,8.0,248.0,220.0,28.0,Connecticut
2018-12-23,December,2018,2017-11-18, Yeezy,Adidas Yeezy Boost 350 V2 Semi Frozen Yellow,10.5,249.0,220.0,29.0,New York
2018-12-23,December,2018,2017-11-18, Yeezy,Adidas Yeezy Boost 350 V2 Semi Frozen Yellow,7.0,269.0,220.0,49.0,California
2018-12-23,December,2018,2017-11-18, Yeezy,Adidas Yeezy Boost 350 V2 Semi Frozen Yellow,7.5,260.0,220.0,40.0,Massachusetts
2018-12-23,December,2018,2017-11-18, Yeezy,Adidas Yeezy Boost 350 V2 Semi Frozen Yellow,11.5,255.0,220.0,35.0,Ohio
2018-12-23,December,2018,2017-11-18, Yeezy,Adidas Yeezy Boost 350 V2 Semi Frozen Yellow,12.0,265.0,220.0,45.0,Minnesota
2018-12-23,December,2018,2017-11-18, Yeezy,Adidas Yeezy Boost 350 V2 Semi Frozen Yellow,6.0,289.0,220.0,69.0,South Carolina
2018-12-23,December,2018,2017-11-18, Yeezy,Adidas Yeezy Boost 350 V2 Semi Frozen Yellow,6.5,275.0,220.0,55.0,Wisconsin
2018-12-23,December,2018,2017-11-18, Yeezy,Adidas Yeezy Boost 350 V2 Semi Frozen Yellow,11.0,250.0,220.0,30.0,District of Columbia
2018-12-23,December,2018,2017-11-18, Yeezy,Adidas Yeezy Boost 350 V2 Semi Frozen Yellow,12.0,268.0,220.0,48.0,Florida
2018-12-23,December,2018,2017-11-18, Yeezy,Adidas Yeezy Boost 350 V2 Semi Frozen Yellow,11.5,265.0,220.0,45.0,California
2018-12-23,December,2018,2017-11-18, Yeezy,Adidas Yeezy Boost 350 V2 Semi Frozen Yellow,8.0,235.0,220.0,15.0,New York
2018-12-23,December,2018,2017-11-18, Yeezy,Adidas Yeezy Boost 350 V2 Semi Frozen Yellow,13.0,280.0,220.0,60.0,Texas
2018-12-23,December,2018,2017-11-18, Yeezy,Adidas Yeezy Boost 350 V2 Semi Frozen Yellow,13.0,284.0,220.0,64.0,Virginia
2018-12-23,December,2018,2017-11-18, Yeezy,Adidas Yeezy Boost 350 V2 Semi Frozen Yellow,12.0,265.0,220.0,45.0,California
2018-12-23,December,2018,2017-11-18, Yeezy,Adidas Yeezy Boost 350 V2 Semi Frozen Yellow,12.0,255.0,220.0,35.0,North Carolina
2018-12-23,December,2018,2017-11-18, Yeezy,Adidas Yeezy Boost 350 V2 Semi Frozen Yellow,13.0,285.0,220.0,65.0,New York
2018-12-23,December,2018,2017-11-18, Yeezy,Adidas Yeezy Boost 350 V2 Semi Frozen Yellow,9.5,248.0,220.0,28.0,Texas
2018-12-23,December,2018,2017-11-18, Yeezy,Adidas Yeezy Boost 350 V2 Semi Frozen Yellow,8.0,247.0,220.0,27.0,Kansas
2018-12-23,December,2018,2017-11-18, Yeezy,Adidas Yeezy Boost 350 V2 Semi Frozen Yellow,4.5,270.0,220.0,50.0,Georgia
2018-12-23,December,2018,2017-11-18, Yeezy,Adidas Yeezy Boost 350 V2 Semi Frozen Yellow,9.0,240.0,220.0,20.0,Michigan
2018-12-23,December,2018,2017-11-18, Yeezy,Adidas Yeezy Boost 350 V2 Semi Frozen Yellow,10.5,249.0,220.0,29.0,Florida
2018-12-23,December,2018,2017-11-18, Yeezy,Adidas Yeezy Boost 350 V2 Semi Frozen Yellow,7.0,259.0,220.0,39.0,Michigan
2018-12-23,December,2018,2017-04-29, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,11.0,226.0,220.0,6.0,Georgia
2018-12-23,December,2018,2017-04-29, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,10.0,244.0,220.0,24.0,Illinois
2018-12-23,December,2018,2017-04-29, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,14.0,251.0,220.0,31.0,California
2018-12-23,December,2018,2017-04-29, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,10.5,230.0,220.0,10.0,New Jersey
2018-12-23,December,2018,2016-12-17, Yeezy,Adidas Yeezy Boost 350 V2 Core Black White,11.5,695.0,220.0,475.0,Nevada
2018-12-23,December,2018,2017-02-11, Yeezy,Adidas Yeezy Boost 350 V2 Core Black Red 2017,9.5,780.0,220.0,560.0,Michigan
2018-12-23,December,2018,2017-02-11, Yeezy,Adidas Yeezy Boost 350 V2 Core Black Red 2017,9.5,781.0,220.0,561.0,New York
2018-12-23,December,2018,2016-11-23, Yeezy,Adidas Yeezy Boost 350 V2 Core Black Red,10.5,870.0,220.0,650.0,California
